Medication ,Indication ,Rx Fill Within ,Benefit Eligibility 
Aranesp ,Kidney Dialysis Kidney Disease/Failure Diabetic Nephropathy ,1 year N/A 2 years ,No coverage Graded Modified 
Arcapta Neohaler ,COPD ,N/A ,Graded 
Aredia ,Cancer ,3 years Current Use ,Modified No Coverage 
Argatroban ,Circulatory Surgery ,2 years ,Modified 
Aricept ,Alzheimer’s / Dementia ,N/A ,No Coverage 
Arimidex ,Cancer ,First Fill <3years First Fill >3 years ,Modified Level 
Aromasin ,Cancer ,First Fill <3years First Fill >3 years ,Modified Level 
Arranon ,Cancer ,3 years Current Use ,Modified No Coverage 
Arsenic Trioxide ,Cancer ,3 years Current Use ,Modified No Coverage 
Arzerra ,Cancer ,3 years Current Use ,Modified No Coverage 
Atacand ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Atamet ,Parkinson’s ,N/A ,Graded 
Atenolol ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Atgam ,Organ / Tissue Transplant ,N/A ,No coverage 
Ativan ,Anxiety Disorder ,N/A ,Level 
Atripla ,AIDS ,N/A ,No coverage 
Atrovent/Atrovent HFA Atrovent (Nasal) ,COPD Allergies ,N/A N/A ,Graded Level 
Avalide ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Avandia ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Avapro ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Avastin ,Cancer ,3 years Current Use ,Modified No Coverage 
Avonex ,Multiple Sclerosis ,N/A ,Level 
Azilect ,Parkinson’s ,N/A ,Graded 
Azasan ,Organ / Tissue Transplant Rheumatoid Arthritis Systemic Lupus ,N/A N/A N/A ,No coverage Level Graded 
Azathioprine ,Organ / Tissue Transplant Rheumatoid Arthritis Systemic Lupus ,N/A N/A N/A ,No coverage Level Graded 
Azmacort ,Asthma COPD / Emphysema ,N/A N/A ,Level Graded 
Azor ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Baclofen ,Multiple Sclerosis ,N/A ,Level 
Baraclude ,Liver Disorder ,N/A ,Graded 
Benazepril HCL ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Benicar ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Benlysta ,Systemic Lupus ,N/A ,Graded 
Benztropine Mesylate ,Parkinson’s Other Use ,N/A N/A ,Graded Level 
Betapace ,Heart Arrhythmia CHF ,N/A N/A ,Level No Coverage 
Betaseron ,Multiple Sclerosis ,N/A ,Level 
Betaxolol HCL ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Bexxar ,Cancer ,3 years Current Use ,Modified No Coverage 
Bicnu ,Cancer ,3 years Current Use ,Modified No Coverage 
BiDil ,CHF ,N/A ,No Coverage 
Bisoprolol Fumarate ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Blenoxane ,Cancer ,3 years Current Use ,Modified No Coverage 
Bleomycin Sulphate ,Cancer ,3 years Current Use ,Modified No Coverage 
Blocadren ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Brevibloc ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Brovana ,COPD ,N/A ,Graded 
Breo Ellipta ,COPD ,N/A ,Graded 
Bromocriptine Mesylate ,Parkinson’s ,N/A ,Graded 
Bumetadine ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Bumex ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Buprenex ,Alcohol / Drugs ,2 years ,Modified 
Busulflex ,Cancer ,3 years Current Use ,Modified No Coverage 
Bystolic ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Calcijex ,Kidney Dialysis Kidney Disease/Failure Diabetic Nephropathy ,1 year N/A 2 years ,No coverage Graded Modified 
Calcitriol ,Kidney Dialysis Kidney Disease/Failure Diabetic Nephropathy ,1 year N/A 2 years ,No coverage Graded Modified 
Calcium Acetate ,Kidney Dialysis Kidney Disease/Failure Diabetic Nephropathy ,1 year N/A 2 years ,No coverage Graded Modified 
Calan ,Hypertension ,N/A ,Level 
Campath ,Cancer ,3 years Current Use ,Modified No Coverage 
Campral ,Alcohol / Drugs ,2 years ,Modified 
Camptosar ,Cancer ,3 years Current Use ,Modified No Coverage 
Capoten ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Capozide ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Captopril ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Carbamazepine ,Seizures Diabetic Neuropathy ,N/A 2 years ,Level Modified 
Carbatrol ,Seizures Diabetic Neuropathy ,N/A 2 years ,Level Modified 
Carbidopa ,Parkinson’s ,N/A ,Graded 
Carboplatin ,Cancer ,3 years Current Use ,Modified No Coverage 
Cardioplegic ,Circulatory Surgery ,2 years ,Modified 
Cardizem ,Hypertension ,N/A ,Level 
Cardura ,Hypertension ,N/A ,Level 
Carnitor ,Kidney Dialysis Kidney Disease/Failure Diabetic Nephropathy ,1 year N/A 2 years ,No coverage Graded Modified 
Cartia ,Hypertension ,N/A ,Level 
Cartrol ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Carvedilol ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Catapress ,Hypertension ,N/A ,Level 
Casodex ,Cancer ,3 years Current Use ,Modified No Coverage 
CeeNu ,Cancer ,3 years Current Use ,Modified No Coverage 
Celebrex ,Arthritis ,N/A ,Level 
Cellcept ,Organ / Tissue Transplant ,N/A ,No coverage 
Cerubidine ,Cancer ,3 years Current Use ,Modified No Coverage 
Cesamet ,Cancer ,3 years Current Use ,Modified No Coverage 
Chlorambucil ,Cancer ,3 years Current Use ,Modified No Coverage 
Chlorpromazine ,Psychotic Disorder ,N/A ,Level 
Cisplatin ,Cancer ,3 years Current Use ,Modified No Coverage 
Citalopram ,Depressive Disorder ,N/A ,Level 
Cladribine ,Cancer ,3 years Current Use ,Modified No Coverage 
Clolar ,Cancer ,3 years Current Use ,Modified No Coverage 
Clopidogrel ,Stroke/TIA/Heart Attack ,First Fill <2years First Fill >2 years ,Modified Level 
Cogentin ,Parkinson’s Other Use ,N/A N/A ,Graded Level 
Cognex ,Alzheimer’s/Dementia ,N/A ,No coverage 
Combivent ,COPD ,N/A ,Graded 
Combivir ,AIDS ,N/A ,No Coverage 
Complera ,AIDS ,N/A ,No Coverage 
Comtan ,Parkinson’s ,N/A ,Graded 
Copaxone ,Multiple Sclerosis ,N/A ,Level 
Copegus ,Liver Disorder ,N/A ,Graded 
Cordarone ,Arrythmia ,N/A ,Level 
Coreg ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Corgard ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Cosmegen ,Cancer ,3 years Current Use ,Modified No Coverage 
Coumadin ,Cardiac Valve Replacement TIA/Stroke Pulmonary Embolism Thrombosis ,2 years 2 years N/A N/A ,Modified Modified Level Level 
Cozaar ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Crixivan ,AIDS ,N/A ,No Coverage 
Cyclophosphamide ,Cancer ,3 years Current Use ,Modified No Coverage 
Cyclosporine ,Organ / Tissue Transplant ,N/A ,No Coverage 
Cyclosporine Modified ,Organ / Tissue Transplant ,N/A ,No Coverage 
Cystagon ,Kidney Dialysis Kidney Disease/Failure Diabetic Nephropathy ,1 year N/A 2 years ,No coverage Graded Modified 
Cytarabine ,Cancer ,3 years Current Use ,Modified No Coverage 
Cytogam ,Organ / Tissue Transplant ,N/A ,No coverage 
Cytosar-U ,Cancer ,3 years Current Use ,Modified No Coverage 
Cytovene ,AIDS ,N/A ,No Coverage 
Cytoxan ,Cancer ,3 years Current Use ,Modified No Coverage 
Dacarbazine ,Cancer ,3 years Current Use ,Modified No Coverage 
Dacogen ,Cancer ,3 years Current Use ,Modified No Coverage 
Dactinomycin ,Cancer ,3 years Current Use ,Modified No Coverage 
Daliresp ,COPD ,N/A ,Graded 
Daunorubicin HCL ,Cancer ,3 years Current Use ,Modified No Coverage 
Daunoxome ,Cancer ,3 years Current Use ,Modified No Coverage 
Demadex ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Depacon ,Seizures Diabetic Neuropathy ,N/A 2 years ,Level Modified 
Depade ,Alcohol / Drugs ,2 years ,Modified 
Depakene ,Seizures Diabetic Neuropathy ,N/A 2 years ,Level Modified 
Depakote ,Seizure Disorder ,N/A ,Level 
Depocyt ,Cancer ,3 years Current Use ,Modified No Coverage 
Dexrazoxane ,Cancer ,3 years Current Use ,Modified No Coverage 
Diabeta ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Diabinese ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Diazoxide ,Cancer ,3 years Current Use ,Modified No Coverage 
Didanosine ,AIDS ,N/A ,No coverage 
Digitek ,Atrial Fibrillation CHF ,N/A N/A ,Level No Coverage 
Digoxin ,Atrial Fibrillation CHF ,N/A N/A ,Level No Coverage 
Dilacor ,Hypertension ,N/A ,Level 
Dilantin ,Seizure Disorder ,N/A ,Level 
Dilatrate SR ,Angina CHF ,2 years N/A ,Modified No Coverage 
Dilor ,Asthma COPD / Emphysema ,N/A N/A ,Level Graded 
Diltiazem ,Hypertension ,N/A ,Level 
Diovan ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Disulfiram ,Alcohol / Drugs ,2 years ,Modified 
Dolophine ,Opioid Dependence ,1 year ,Modified 
Donepezil HCL ,Alzheimer’s / Dementia ,N/A ,No coverage 
Doxil ,Cancer ,3 years Current Use ,Modified No Coverage 
Doxorubicin HCL ,Cancer ,3 years Current Use ,Modified No Coverage 
Dronabinol ,Cancer ,3 years Current Use ,Modified No Coverage 
DTIC-Dome ,Cancer ,3 years Current Use ,Modified No Coverage 
Duoneb ,COPD ,N/A ,Graded 
Dyazide ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Dynacirc ,Hypertension ,N/A ,Level 
Dyrenium ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Edecrin ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Edurant ,AIDS ,N/A ,No Coverage 
Eldepryl ,Parkinson’s ,N/A ,Graded 
Eligard ,Cancer ,3 years Current Use ,Modified No Coverage 
Eliphos ,Kidney Dialysis Kidney Disease/Failure Diabetic Nephropathy ,1 year N/A 2 years ,No coverage Graded Modified 
Elitek ,Cancer ,3 years Current Use ,Modified No Coverage 
Ellence ,Cancer ,3 years Current Use ,Modified No Coverage 
Eloxatin ,Cancer ,3 years Current Use ,Modified No Coverage 
Elspar ,Cancer ,3 years Current Use ,Modified No Coverage 
Emcyt ,Cancer ,3 years Current Use ,Modified No Coverage 
Emend ,Cancer ,3 years Current Use ,Modified No Coverage 
Emtriva ,AIDS ,N/A ,No coverage 
Enalapril Maleate ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Enalaprilat ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Epitol ,Seizures Diabetic Neuropathy ,N/A 2 years ,Level Modified 
Epivir ,AIDS ,N/A ,No coverage 
Epizicom ,AIDS ,N/A ,No coverage 
Eplerenone ,CHF ,N/A ,No Coverage 
Erbitux ,Cancer ,3 years Current Use ,Modified No Coverage 
Ergoloid Mesylates ,Alzheimer’s / Dementia ,N/A ,No coverage 
Eskalith ,Bipolar Disorder ,N/A ,Level 
Esmolol HCL ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Estinyl ,Cancer ,3 years Current Use ,Modified No Coverage 
Ethyol ,Cancer ,3 years Current Use ,Modified No Coverage 
Etopophos ,Cancer ,3 years Current Use ,Modified No Coverage 
Etoposide ,Cancer ,3 years Current Use ,Modified No Coverage 
Eulexin ,Cancer ,3 years Current Use ,Modified No Coverage 
Evista ,Cancer Osteoporosis ,3 years Current Use N/A ,Modified No Coverage Level 
Exelon ,Alzheimer’s / Dementia ,N/A ,No coverage 
Exforge ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Fareston ,Cancer ,3 years Current Use ,Modified No Coverage 
Farxiga ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Faslodex ,Cancer ,3 years Current Use ,Modified No Coverage 
Felodipine ,Hypertension ,N/A ,Level 
Femara ,Cancer ,First Fill <3years First Fill >3 years ,Modified Level 
Fentanyl Citrate ,Cancer Pain Severe Pain ,3 years N/A ,Modified Level 
Fentora ,Cancer Pain Severe Pain ,3 years N/A ,Modified Level 
Floxuridine ,Cancer ,3 years Current Use ,Modified No Coverage 
Fludara ,Cancer ,3 years Current Use ,Modified No Coverage 
Fludarabine Phosphate ,Cancer ,3 years Current Use ,Modified No Coverage 
Fluoxymesterone ,Cancer ,3 years Current Use ,Modified No Coverage 
Flutamide ,Cancer ,3 years Current Use ,Modified No Coverage 
Folotyn ,Cancer ,3 years Current Use ,Modified No Coverage 
Fortamet ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Fortovase ,AIDS ,N/A ,No coverage 
Foscarnet Sodium ,AIDS ,N/A ,No coverage 
Foscavir ,AIDS ,N/A ,No coverage 
Fosinopril Sodium ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Fosrenol ,Kidney Dialysis Kidney Disease/Failure Diabetic Nephropathy ,1 year N/A 2 years ,No coverage Graded Modified 
Fortesta ,Cancer ,3 years Current Use ,Modified No Coverage 
FUDR ,Cancer ,3 years Current Use ,Modified No Coverage 
Furosemide ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Fusilev ,Cancer ,3 years Current Use ,Modified No Coverage 
Fuzeon ,AIDS ,N/A ,No coverage 
Gabapentin ,Seizures Diabetic Neuropathy ,N/A 2 years ,Level Modified 
Gabitril ,Seizure Disorder ,N/A ,Level 
Galantamine ,Alzheimer’s / Dementia ,N/A ,No coverage 
Gallium Nitrate ,Cancer ,3 years Current Use ,Modified No Coverage 
Ganciclovir ,AIDS ,N/A ,No coverage 
Ganite ,Cancer ,3 years Current Use ,Modified No Coverage 
Gemzar ,Cancer ,3 years Current Use ,Modified No Coverage 
Gengraf ,Organ / Tissue Transplant ,N/A ,No coverage 
Gleevec ,Cancer ,3 years Current Use ,Modified No Coverage 
Gliadel Wafer ,Cancer ,3 years Current Use ,Modified No Coverage 
Glipizide ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Glucophage ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Glucotrol ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Glyburide ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Glynase ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Granisetron HCL ,Cancer ,3 years Current Use ,Modified No Coverage 
Granisol ,Cancer ,3 years Current Use ,Modified No Coverage 
Halaven ,Cancer ,3 years Current Use ,Modified No Coverage 
Haldol ,Psychotic Disorder ,N/A ,Level 
Haloperidol ,Psychotic Disorder ,N/A ,Level 
Halotestin ,Cancer ,3 years Current Use ,Modified No Coverage 
HCTZ ,Hypertension ,N/A ,Level 
HCTZ/Triamterene ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Hectoral ,Kidney Dialysis Kidney Disease/Failure Diabetic Nephropathy ,1 year N/A 2 years ,No coverage Graded Modified 
Heparin ,Pulmonary Embolism Thrombosis ,N/A N/A ,Level Level 
Hepsera ,Liver Disorder ,N/A ,Graded 
Herceptin ,Cancer ,3 years Current Use ,Modified No Coverage 
Hexalen ,Cancer ,3 years Current Use ,Modified No Coverage 
Hivid ,AIDS ,N/A ,No coverage 
Humalog ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Humulin ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Hycamtin ,Cancer ,3 years Current Use ,Modified No Coverage 
Hydralazine HCL ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Hydrea ,Cancer ,3 years Current Use ,Modified No Coverage 
Hydroxyurea ,Cancer ,3 years Current Use ,Modified No Coverage 
Hydergine ,Alzheimer’s /Dementia ,N/A ,No coverage 
Hydroxychloroquine ,Systemic Lupus Malaria Rheumatoid Arthritis ,N/A N/A N/A ,Graded Level Level 
Hyperstat IV ,Cancer ,3 years Current Use ,Modified No Coverage 
Hytrin ,Hypertension ,N/A ,Level 
Hyzaar ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Idamycin PFS ,Cancer ,3 years Current Use ,Modified No Coverage 
Idarubicin ,Cancer ,3 years Current Use ,Modified No Coverage 
Ifex ,Cancer ,3 years Current Use ,Modified No Coverage 
Ifex/Mesnex Combo Pack ,Cancer ,3 years Current Use ,Modified No Coverage 
Ifosfamide ,Cancer ,3 years Current Use ,Modified No Coverage 
Iletin ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Imdur ,Angina CHF ,2 years N/A ,Modified No Coverage 
Imuran ,Organ / Tissue Transplant Rheumatoid Arthritis Systemic Lupus ,N/A N/A N/A ,No coverage Level Graded 
Inamrinone ,CHF ,N/A ,No Coverage 
Inderal ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Inderide ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Infergen ,Liver Disorder ,N/A ,Graded 
Innopran XL ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Inspra ,CHF ,N/A ,No Coverage 
Insulin ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Intelence ,AIDS ,N/A ,No Coverage 
Intron-A ,Cancer Hepatitis C ,3 years Current Use N/A ,Modified No Coverage Graded 
Invirase ,AIDS ,N/A ,No coverage 
Invokana ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Ipratropium Bromide ,COPD Allergies ,N/A N/A ,Graded Level 
Iressa ,Cancer ,3 years Current Use ,Modified No Coverage 
Irinotecan ,Cancer ,3 years Current Use ,Modified No Coverage 
Ismo ,Angina CHF ,2 years N/A ,Modified No Coverage 
Isochron ,Angina CHF ,2 years N/A ,Modified No Coverage 
Isodax ,Cancer ,3 years Current Use ,Modified No Coverage 
Isoptin ,Hypertension ,N/A ,Level 
Isordil ,Angina CHF ,2 years N/A ,Modified No Coverage 
Isosorbide Dinitrate/Mononitrate ,Angina CHF ,2 years N/A ,Modified No Coverage 
Ixempra ,Cancer ,3 years Current Use ,Modified No Coverage 
Janumet ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Januvia ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Jardiance ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Jetvana ,Cancer ,3 years Current Use ,Modified No Coverage 
Kaletra ,AIDS ,N/A ,No coverage 
Kemadrin ,Parkinson’s Other Use ,N/A N/A ,Graded Level 
Kepivance ,Cancer ,3 years Current Use ,Modified No Coverage 
Kerlone ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Kytril ,Cancer ,3 years Current Use ,Modified No Coverage 
Labetaolol ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Lamictal ,Seizures Diabetic Neuropathy ,N/A 2 years ,Level Modified 
Lamtrogine ,Seizures Diabetic Neuropathy ,N/A 2 years ,Level Modified 
Lanoxicaps ,Atrial Fibrillation CHF ,N/A N/A ,Level No Coverage 
Lanoxin ,Atrial Fibrillation CHF ,N/A N/A ,Level No Coverage 
Lantus ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Lasix ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Larodopa ,Parkinson’s ,N/A ,Graded 
Leucovorin Calcium ,Cancer ,3 years Current Use ,Modified No Coverage 
Leukeran ,Cancer ,3 years Current Use ,Modified No Coverage 
Leukine ,Cancer ,3 years Current Use ,Modified No Coverage 
Leuprolide ,Cancer ,3 years Current Use ,Modified No Coverage 
Leustatin ,Cancer ,3 years Current Use ,Modified No Coverage 
Levatol ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Levodopa ,Parkinson’s ,N/A ,Graded 
Levamisole HCL ,Cancer ,3 years Current Use ,Modified No Coverage 
Levemir ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Levocarnitine ,Kidney Dialysis Kidney Disease/Failure Diabetic Nephropathy ,1 year N/A 2 years ,No coverage Graded Modified 
Lexiva ,AIDS ,N/A ,No coverage 
Lexxel ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Lipitor ,Cholesterol ,N/A ,Level 
Lisinopril ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Lithium ,Bipolar Disorder ,N/A ,Level 
Lodosyn ,Parkinson’s ,N/A ,Graded 
Lopressor ,Hypertension ,N/A ,Level 
Losartan Potassium ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Lotensin ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Lotrel ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Loxapine ,Psychotic Disorder ,N/A ,Level 
Loxitane ,Psychotic Disorder ,N/A ,Level 
Lozol ,Hypertension ,N/A ,Level 
Lupron ,Cancer ,3 years Current Use ,Modified No Coverage 
Lyrica ,Seizures Diabetic Neuropathy ,N/A 2 years ,Level Modified 
Lysodren ,Cancer ,3 years Current Use ,Modified No Coverage 
Lytensopril ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Marinol ,Cancer ,3 years Current Use ,Modified No Coverage 
Matulane ,Cancer ,3 years Current Use ,Modified No Coverage 
Maxzide ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Mavik ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Mellaril ,Psychotic Disorder ,N/A ,Level 
Melphalan Hydrochloride ,Cancer ,3 years Current Use ,Modified No Coverage 
Mepron ,AIDS ,N/A ,No coverage 
Mercaptopurine ,Cancer ,3 years Current Use ,Modified No Coverage 
Mesna ,Cancer ,3 years Current Use ,Modified No Coverage 
Mesnex ,Cancer ,3 years Current Use ,Modified No Coverage 
Metformin ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Methadone ,Opioid Dependence ,1 year ,Modified 
Methadose ,Opioid Dependence ,1 year ,Modified 
Methotrexate ,Cancer Rheumatoid Arthritis ,3 years Current Use N/A ,Modified No Coverage Level 
Methyldopa ,Hypertension ,N/A ,Level 
Metolazone ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Metoprolol Tartrate/Succinate ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Metoprolol HCTZ ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Mevacor ,Cholesterol ,N/A ,Level 
Micardis ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Micronase ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Midamor ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Milrinone ,CHF ,N/A ,No Coverage 
Minipress ,Hypertension ,N/A ,Level 
Minitran ,Angina CHF ,2 years N/A ,Modified No Coverage 
Mirapex ,Parkinson’s Other Use ,N/A N/A ,Graded Level 
Mithracin ,Cancer ,3 years Current Use ,Modified No Coverage 
Mitomycin ,Cancer ,3 years Current Use ,Modified No Coverage 
Mitoxantrone HCL ,Cancer ,3 years Current Use ,Modified No Coverage 
Moban ,Psychotic Disorder ,N/A ,Level 
Moduretic ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Moexipril HCL ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Monoket ,Angina CHF ,2 years N/A ,Modified No Coverage 
Monopril ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Mustargen ,Cancer ,3 years Current Use ,Modified No Coverage 
Mutamycin ,Cancer ,3 years Current Use ,Modified No Coverage 
Mycobutin ,AIDS ,N/A ,No coverage 
Myfortic ,Organ / Tissue Transplant ,N/A ,No coverage 
Mykrok ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Myleran ,Cancer ,3 years Current Use ,Modified No Coverage 
Mylocel ,Cancer ,3 years Current Use ,Modified No Coverage 
Mylotarg ,Cancer ,3 years Current Use ,Modified No Coverage 
Mysoline ,Seizure Disorder ,N/A ,Level 
Nadolol ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Namenda ,Alzheimer’s /Dementia ,N/A ,No coverage 
Narcan ,Alcohol / Drugs ,2 years ,Modified 
Naloxone ,Alcohol / Drugs ,2 years ,Modified 
Naltrexone ,Alcohol / Drugs ,2 years ,Modified 
Natrecor ,CHF ,N/A ,No Coverage 
Navane ,Psychotic Disorder ,N/A ,Level 
Navelbine ,Cancer ,3 years Current Use ,Modified No Coverage 
