Medication,Time,Indication,Outcome,Product
perphenazine,N/A,Schizophrenia likely,Decline,CFG Term
prismasol,N/A,Kidney Disease,Decline,CFG Term
prograf,N/A,Organ Transplant,Decline,CFG Term
pulmozyme,N/A,Cystic Fibrosis,Decline,CFG Term
quetiapine,N/A,Schizophrenia possible,Decline,CFG Term
rapamune,N/A,Organ Transplant,Decline,CFG Term
razadyne,N/A,Alzheimer’s / Dementia,Decline,CFG Term
rebif,N/A,Multiple Sclerosis,Decline,CFG Term
reminyl,N/A,Alzheimer’s/Dementia,Decline,CFG Term
renagel,N/A,Kidney Disease,Decline,CFG Term
renvela,N/A,Kidney Disease,Decline,CFG Term
retrovir,N/A,HIV treatment likely,Decline,CFG Term
ribapak,N/A,Liver disease,Decline,CFG Term
ribasphere,N/A,Liver Disease,Decline,CFG Term
ribavirin,N/A,Hepatitis C,Decline,CFG Term
riluzole,N/A,ALS likely,Decline,CFG Term
rilutek,N/A,ALS likely,Decline,CFG Term
risperdal,N/A,Schizophrenia likely,Decline,CFG Term
medication,N/A,Medical Condition,Decline,CFG Term
risperidone,N/A,Schizophrenia likely,Decline,CFG Term
roferon-a,N/A,Cancer or Hepatitis C,Decline,CFG Term
sensipar,N/A,Kidney Disease/Failure,Decline,CFG Term
seroquel,N/A,Schizophrenia likely,Decline,CFG Term
sofosbuvir,N/A,Chronic Hepatitis,Decline,CFG Term
sovaldi,N/A,Chronic Hepatitis,Decline,CFG Term
spiriva,N/A,COPD likely,Decline,CFG Term
stalevo,N/A,Parkinson's likely,Decline,CFG Term
stelazine,N/A,Schizophrenia likely,Decline,CFG Term
stribild,N/A,HIV,Decline,CFG Term
suboxone,N/A,Substance abuse possible,Decline,CFG Term
subutex,N/A,Substance abuse possible,Decline,CFG Term
sustiva,N/A,HIV treatment likely,Decline,CFG Term
tamoxifen,N/A,Cancer,Decline,CFG Term
targretin,N/A,Cancer,Decline,CFG Term
thiothixene,N/A,Schizophrenia likely,Decline,CFG Term
tivicay,N/A,HIV,Decline,CFG Term
trilafon,N/A,Schizophrenia likely,Decline,CFG Term
trizivir,N/A,HIV treatment likely,Decline,CFG Term
viracept,N/A,HIV treatment likely / Hepatitis,Decline,CFG Term
viramune,N/A,HIV treatment likely / Hepatitis,Decline,CFG Term
viread,N/A,HIV treatment likely / Hepatitis,Decline,CFG Term
zemplar,N/A,Kidney Disease / Failure,Decline,CFG Term
zidovudine,N/A,HIV,Decline,CFG Term
zyprexa,N/A,Psychotic Disorder likely,Decline,CFG Term
zytiga,N/A,Cancer,Decline,CFG Term
abilify,N/A,Psychotic Disorder,Decline,Foresters Strong Foundation
amiodarone hcl,N/A,Arrhythmia,Decline,Foresters Strong Foundation
anastrozole,N/A,Cancer,Decline,Foresters Strong Foundation
anoro ellipta,N/A,Serious COPD,Decline,Foresters Strong Foundation
antabuse,N/A,Alcohol/Drugs,Decline,Foresters Strong Foundation
aricept,N/A,Dementia/Cognitive Disorder,Decline,Foresters Strong Foundation
arimidex,N/A,Cancer,Decline,Foresters Strong Foundation
benlysta,N/A,Systemic Lupus,Decline,Foresters Strong Foundation
bevespi aerosphere,N/A,Serious COPD,Decline,Foresters Strong Foundation
bidil,N/A,CHF,Decline,Foresters Strong Foundation
calcitriol,N/A,Kidney Disease/Failure,Decline,Foresters Strong Foundation
carbidopa-levadopa,N/A,Parkinson’s,Decline,Foresters Strong Foundation
casodex,N/A,Cancer,Decline,Foresters Strong Foundation
clopidogrel,N/A,"Heart Disease, Stroke/TIA,  PVD/PAD",Decline,Foresters Strong Foundation
daliresp,N/A,Serious COPD,Decline,Foresters Strong Foundation
digoxin,N/A,Heart Failure/Arrhythmias,Decline,Foresters Strong Foundation
donepezil hcl,N/A,Dementia/Cognitive Disorder,Decline,Foresters Strong Foundation
effient,N/A,"Heart Disease, Stroke/TIA,  PVD/PAD",Decline,Foresters Strong Foundation
exelon,N/A,Dementia/Cognitive Disorder,Decline,Foresters Strong Foundation
femara,N/A,Cancer,Decline,Foresters Strong Foundation
geodon,N/A,Psychotic Disorder,Decline,Foresters Strong Foundation
hydralazine,N/A,Severe Hypertension,Decline,Foresters Strong Foundation
hydrea,N/A,Cancer,Decline,Foresters Strong Foundation
inspra,N/A,CHF,Decline,Foresters Strong Foundation
isosorbide,N/A,Angina,Decline,Foresters Strong Foundation
lanoxin,N/A,Heart Failure/Arrhythmias,Decline,Foresters Strong Foundation
lithium,N/A,Bi-polar Disorder,Decline,Foresters Strong Foundation
lupron,N/A,Cancer,Decline,Foresters Strong Foundation
methyldopa,N/A,Severe Hypertension,Decline,Foresters Strong Foundation
namenda,N/A,Anti-Dementia,Decline,Foresters Strong Foundation
nitrostat,N/A,Angina/Chest pain,Decline,Foresters Strong Foundation
pegasys,N/A,Hepatitis,Decline,Foresters Strong Foundation
plavix,N/A,"Heart Disease, Stroke/TIA, PVD/PAD",Decline,Foresters Strong Foundation
pletal,N/A,"Heart Disease, Stroke/TIA, PVD/PAD",Decline,Foresters Strong Foundation
ranexa,N/A,Angina/Chest pain,Decline,Foresters Strong Foundation
ribavirin,N/A,Hepatitis,Decline,Foresters Strong Foundation
rilutek,N/A,ALS,Decline,Foresters Strong Foundation
risperdone,N/A,Psychotic Disorder,Decline,Foresters Strong Foundation
sensipar,N/A,Kidney Disease/Failure,Decline,Foresters Strong Foundation
serzone,N/A,Psychotic Disorder,Decline,Foresters Strong Foundation
sinemet,N/A,Parkinson’s,Decline,Foresters Strong Foundation
stiolto respimat,N/A,Serious COPD,Decline,Foresters Strong Foundation
tamoxifen,N/A,Cancer,Decline,Foresters Strong Foundation
trelegy ellipta,N/A,Serious COPD,Decline,Foresters Strong Foundation
utibron neohaler,N/A,Serious COPD,Decline,Foresters Strong Foundation
zemplar,N/A,Kidney Disease/Failure,Decline,Foresters Strong Foundation
zyprexa,N/A,Psychotic Disorder,Decline,Foresters Strong Foundation
abilify,N/A,N/A,Decline,Phoenix Safe Harbor
aripcept,N/A,N/A,Decline,Phoenix Safe Harbor
coumadin,N/A,N/A,Decline,Phoenix Safe Harbor
dexamethasone,N/A,N/A,Decline,Phoenix Safe Harbor
digoxin,N/A,N/A,Decline,Phoenix Safe Harbor
enbrel,N/A,N/A,Decline,Phoenix Safe Harbor
haloperidol,N/A,N/A,Decline,Phoenix Safe Harbor
imuran,N/A,N/A,Decline,Phoenix Safe Harbor
invirase,N/A,N/A,Decline,Phoenix Safe Harbor
isosorbide,N/A,N/A,Decline,Phoenix Safe Harbor
lithium,N/A,N/A,Decline,Phoenix Safe Harbor
lupron,N/A,N/A,Decline,Phoenix Safe Harbor
methadone,N/A,N/A,Decline,Phoenix Safe Harbor
methotrexate,N/A,N/A,Decline,Phoenix Safe Harbor
nitroglycerin,N/A,N/A,Decline,Phoenix Safe Harbor
nitro,N/A,N/A,Decline,Phoenix Safe Harbor
prochlorperazine,N/A,N/A,Decline,Phoenix Safe Harbor
quetiapine,N/A,N/A,Decline,Phoenix Safe Harbor
rebif,N/A,N/A,Decline,Phoenix Safe Harbor
remicade,N/A,N/A,Decline,Phoenix Safe Harbor
risperdal,N/A,N/A,Decline,Phoenix Safe Harbor
seroquel,N/A,N/A,Decline,Phoenix Safe Harbor
suboxone,N/A,N/A,Decline,Phoenix Safe Harbor
tamoxifen,N/A,N/A,Decline,Phoenix Safe Harbor
warfarin,N/A,N/A,Decline,Phoenix Safe Harbor
zyprexa,N/A,N/A,Decline,Phoenix Safe Harbor
abacavir,Current,N/A,Decline,MOO Living Promise
abilify,Current,N/A,May Qualify for Graded,MOO Living Promise
alkeran,Current,N/A,Decline,MOO Living Promise
amiodarone,Current,N/A,May Qualify for Graded,MOO Living Promise
ampyra,Current,N/A,May Qualify for Graded,MOO Living Promise
antabuse,Current,N/A,May Qualify for Graded,MOO Living Promise
aricept,Current,N/A,Decline,MOO Living Promise
atripla,Current,N/A,Decline,MOO Living Promise
avonex,Current,N/A,May Qualify for Graded,MOO Living Promise
azilect,Current,N/A,May Qualify for Graded,MOO Living Promise
baraclude,Current,N/A,May Qualify for Graded,MOO Living Promise
betaseron,Current,N/A,May Qualify for Graded,MOO Living Promise
calcium acetate,Current,N/A,May Qualify for Graded,MOO Living Promise
campath,Current,N/A,Decline,MOO Living Promise
campral,Current,N/A,May Qualify for Graded,MOO Living Promise
caprelsa,Current,N/A,Decline,MOO Living Promise
carbidopa,Current,N/A,May Qualify for Graded,MOO Living Promise
casodex,Current,N/A,Decline,MOO Living Promise
levodopa,Current,N/A,May Qualify for Graded,MOO Living Promise
cellcept,Current,N/A,Decline,MOO Living Promise
chlorpromazine hcl,Current,N/A,May Qualify for Graded,MOO Living Promise
clozapine,Current,N/A,May Qualify for Graded,MOO Living Promise
cognex,Current,N/A,Decline,MOO Living Promise
aggrenox,Current,N/A,More Information Needed,MOO Living Promise
arimidex,Current,N/A,More Information Needed,MOO Living Promise
carvedilol,Current,N/A,More Information Needed,MOO Living Promise
clopidogrel,Current,N/A,More Information Needed,MOO Living Promise
combivir,Current,N/A,Decline,MOO Living Promise
copaxone,Current,N/A,May Qualify for Graded,MOO Living Promise
crixivan,Current,N/A,Decline,MOO Living Promise
cyclosporine,Current,N/A,Decline,MOO Living Promise
cytoxan,Current,N/A,Decline,MOO Living Promise
donepezil,Current,N/A,Decline,MOO Living Promise
droxia,Current,N/A,Decline,MOO Living Promise
eligard,Current,N/A,Decline,MOO Living Promise
eminase,Current,N/A,May Qualify for Graded,MOO Living Promise
epivir hbv,Current,N/A,Decline,MOO Living Promise
ergoloid mesylates,Current,N/A,Decline,MOO Living Promise
exelon,Current,N/A,Decline,MOO Living Promise
floxuridine,Current,N/A,Decline,MOO Living Promise
fluorouracil,Current,N/A,Decline,MOO Living Promise
galantamine,Current,N/A,Decline,MOO Living Promise
hydrobromide,Current,N/A,Decline,MOO Living Promise
gammagard,Current,N/A,Decline,MOO Living Promise
gamunex,Current,N/A,Decline,MOO Living Promise
gengraf,Current,N/A,Decline,MOO Living Promise
geodon,Current,N/A,May Qualify for Graded,MOO Living Promise
haldol,Current,N/A,May Qualify for Graded,MOO Living Promise
haloperidol,Current,N/A,May Qualify for Graded,MOO Living Promise
coreg,Current,N/A,More Information Needed,MOO Living Promise
coumadin,Current,N/A,More Information Needed,MOO Living Promise
digitek,Current,N/A,More Information Needed,MOO Living Promise
digoxin,Current,N/A,More Information Needed,MOO Living Promise
hydrea,Current,N/A,Decline,MOO Living Promise
hydroxyurea,Current,N/A,Decline,MOO Living Promise
infergen,Current,N/A,May Qualify for Graded,MOO Living Promise
invega,Current,N/A,May Qualify for Graded,MOO Living Promise
invirase,Current,N/A,Decline,MOO Living Promise
latuda,Current,N/A,May Qualify for Graded,MOO Living Promise
leucovorin calcium,Current,N/A,Decline,MOO Living Promise
lexiva,Current,N/A,Decline,MOO Living Promise
limbitrol,Current,N/A,May Qualify for Graded,MOO Living Promise
lithium,Current,N/A,May Qualify for Graded,MOO Living Promise
megace,Current,N/A,Decline,MOO Living Promise
megestrol acetate,Current,N/A,Decline,MOO Living Promise
(megace),Current,N/A,Decline,MOO Living Promise
mitomycin,Current,N/A,Decline,MOO Living Promise
mycophenolate mofetil,Current,N/A,Decline,MOO Living Promise
myfortic,Current,N/A,Decline,MOO Living Promise
naloxone hcl,Current,N/A,May Qualify for Graded,MOO Living Promise
naltrexone hcl,Current,N/A,May Qualify for Graded,MOO Living Promise
namenda,Current,N/A,Decline,MOO Living Promise
neupogen,Current,N/A,Decline,MOO Living Promise
panretin,Current,N/A,Decline,MOO Living Promise
pegasys,Current,N/A,May Qualify for Graded,MOO Living Promise
eliquis,Current,N/A,More Information Needed,MOO Living Promise
enoxaparin sodium,Current,N/A,More Information Needed,MOO Living Promise
femara,Current,N/A,More Information Needed,MOO Living Promise
lanoxin,Current,N/A,More Information Needed,MOO Living Promise
peg-intron,Current,N/A,May Qualify for Graded,MOO Living Promise
perphenazine,Current,N/A,May Qualify for Graded,MOO Living Promise
pradaxa,Current,N/A,May Qualify for Graded,MOO Living Promise
prograf,Current,N/A,Decline,MOO Living Promise
ranexa,Current,N/A,May Qualify for Graded,MOO Living Promise
razadyne,Current,N/A,Decline,MOO Living Promise
rebif,Current,N/A,May Qualify for Graded,MOO Living Promise
retrovir,Current,N/A,Decline,MOO Living Promise
revia,Current,N/A,May Qualify for Graded,MOO Living Promise
revlimid,Current,N/A,Decline,MOO Living Promise
ribavirin,Current,N/A,May Qualify for Graded,MOO Living Promise
risperdal,Current,N/A,May Qualify for Graded,MOO Living Promise
rituxan,Current,N/A,Decline,MOO Living Promise
sandimmune,Current,N/A,Decline,MOO Living Promise
saphris,Current,N/A,May Qualify for Graded,MOO Living Promise
seroquel,Current,N/A,May Qualify for Graded,MOO Living Promise
serzone,Current,N/A,May Qualify for Graded,MOO Living Promise
sinemet,Current,N/A,May Qualify for Graded,MOO Living Promise
spiriva,Current,N/A,May Qualify for Graded,MOO Living Promise
stalevo,Current,N/A,May Qualify for Graded,MOO Living Promise
stribild,Current,N/A,Decline,MOO Living Promise
suboxone,Current,N/A,May Qualify for Graded,MOO Living Promise
lovenox,Current,N/A,More Information Needed,MOO Living Promise
plavix,Current,N/A,More Information Needed,MOO Living Promise
tamoxifen,Current,N/A,More Information Needed,MOO Living Promise
warfarin,Current,N/A,More Information Needed,MOO Living Promise
sustiva,Current,N/A,Decline,MOO Living Promise
symbyax,Current,N/A,May Qualify for Graded,MOO Living Promise
targretin,Current,N/A,Decline,MOO Living Promise
teslac,Current,N/A,Decline,MOO Living Promise
truvada,Current,N/A,Decline,MOO Living Promise
viracept,Current,N/A,Decline,MOO Living Promise
viramune,Current,N/A,Decline,MOO Living Promise
viread,Current,N/A,Decline,MOO Living Promise
zenapax,Current,N/A,Decline,MOO Living Promise
zerit,Current,N/A,Decline,MOO Living Promise
ziagen,Current,N/A,Decline,MOO Living Promise
zidovudine,Current,N/A,Decline,MOO Living Promise
zoladex,Current,N/A,Decline,MOO Living Promise
zyprexa,Current,N/A,May Qualify for Graded,MOO Living Promise
xarelto,Current,N/A,More Information Needed,MOO Living Promise
abilify,N/A,N/A,Decline,Phoenix  Remembrance
aripcept,N/A,N/A,Decline,Phoenix  Remembrance
coumadin,N/A,N/A,Decline,Phoenix  Remembrance
dexamethasone,N/A,N/A,Decline,Phoenix  Remembrance
digoxin,N/A,N/A,Decline,Phoenix  Remembrance
enbrel,N/A,N/A,Decline,Phoenix  Remembrance
haloperidol,N/A,N/A,Decline,Phoenix  Remembrance
imuran,N/A,N/A,Decline,Phoenix  Remembrance
invirase,N/A,N/A,Decline,Phoenix  Remembrance
isosorbide,N/A,N/A,Decline,Phoenix  Remembrance
lithium,N/A,N/A,Decline,Phoenix  Remembrance
lupron,N/A,N/A,Decline,Phoenix  Remembrance
methadone,N/A,N/A,Decline,Phoenix  Remembrance
methotrexate,N/A,N/A,Decline,Phoenix  Remembrance
nitroglycerin,N/A,N/A,Decline,Phoenix  Remembrance
nitro,N/A,N/A,Decline,Phoenix  Remembrance
prochlorperazine,N/A,N/A,Decline,Phoenix  Remembrance
quetiapine,N/A,N/A,Decline,Phoenix  Remembrance
rebif,N/A,N/A,Decline,Phoenix  Remembrance
remicade,N/A,N/A,Decline,Phoenix  Remembrance
risperdal,N/A,N/A,Decline,Phoenix  Remembrance
seroquel,N/A,N/A,Decline,Phoenix  Remembrance
suboxone,N/A,N/A,Decline,Phoenix  Remembrance
tamoxifen,N/A,N/A,Decline,Phoenix  Remembrance
warfarin,N/A,N/A,Decline,Phoenix  Remembrance
zyprexa,N/A,N/A,Decline,Phoenix  Remembrance
abacavir,Current,N/A,Decline,MOO Term
abilify,Current,N/A,Decline,MOO Term
adcirca,Current,N/A,Decline,MOO Term
aggrenox,Current,N/A,Decline,MOO Term
alkeran,Current,N/A,Decline,MOO Term
amiodarone,Current,N/A,Decline,MOO Term
ampyra,Current,N/A,Decline,MOO Term
antabuse,Current,N/A,Decline,MOO Term
aricept,Current,N/A,Decline,MOO Term
arimidex,Current,N/A,Decline,MOO Term
atripla,Current,N/A,Decline,MOO Term
avonex,Current,N/A,Decline,MOO Term
azilect,Current,N/A,Decline,MOO Term
baraclude,Current,N/A,Decline,MOO Term
betaseron,Current,N/A,Decline,MOO Term
calcium acetate,Current,N/A,Decline,MOO Term
campath,Current,N/A,Decline,MOO Term
campral,Current,N/A,Decline,MOO Term
caprelsa,Current,N/A,Decline,MOO Term
carbidopa,Current,N/A,Decline,MOO Term
levodopa,Current,N/A,Decline,MOO Term
casodex,Current,N/A,Decline,MOO Term
cellcept,Current,N/A,Decline,MOO Term
chlorpromazine hcl,Current,N/A,Decline,MOO Term
clozapine,Current,N/A,Decline,MOO Term
cognex,Current,N/A,Decline,MOO Term
combivir,Current,N/A,Decline,MOO Term
copaxone,Current,N/A,Decline,MOO Term
crixivan,Current,N/A,Decline,MOO Term
cyclosporine,Current,N/A,Decline,MOO Term
cytoxan,Current,N/A,Decline,MOO Term
digitek,Current,N/A,Decline,MOO Term
digoxin,Current,N/A,Decline,MOO Term
dobutamine hcl,Current,N/A,Decline,MOO Term
donepezil,Current,N/A,Decline,MOO Term
droxia,Current,N/A,Decline,MOO Term
eligard,Current,N/A,Decline,MOO Term
eliquis,Current,N/A,Decline,MOO Term
eminase,Current,N/A,Decline,MOO Term
enbrel,Current,N/A,Decline,MOO Term
epivir hbv,Current,N/A,Decline,MOO Term
ergoloid mesylates,Current,N/A,Decline,MOO Term
exelon,Current,N/A,Decline,MOO Term
femara,Current,N/A,Decline,MOO Term
floxuridine,Current,N/A,Decline,MOO Term
fluorouracil,Current,N/A,Decline,MOO Term
galantamine,Current,N/A,Decline,MOO Term
hydrobromide,Current,N/A,Decline,MOO Term
gammagard,Current,N/A,Decline,MOO Term
gamunex,Current,N/A,Decline,MOO Term
gengraf,Current,N/A,Decline,MOO Term
geodon,Current,N/A,Decline,MOO Term
haldol,Current,N/A,Decline,MOO Term
haloperidol,Current,N/A,Decline,MOO Term
hepsera,Current,N/A,Decline,MOO Term
humira,Current,N/A,Decline,MOO Term
hydrea,Current,N/A,Decline,MOO Term
hydroxyurea,Current,N/A,Decline,MOO Term
infergen,Current,N/A,Decline,MOO Term
invega,Current,N/A,Decline,MOO Term
invirase,Current,N/A,Decline,MOO Term
kalydeco,Current,N/A,Decline,MOO Term
lanoxin,Current,N/A,Decline,MOO Term
latuda,Current,N/A,Decline,MOO Term
leucovorin calcium,Current,N/A,Decline,MOO Term
lexiva,Current,N/A,Decline,MOO Term
limbitrol,Current,N/A,Decline,MOO Term
lithium,Current,N/A,Decline,MOO Term
megestrol acetate,Current,N/A,Decline,MOO Term
(megace),Current,N/A,Decline,MOO Term
methadone,Current,N/A,Decline,MOO Term
methotrexate,Current,N/A,Decline,MOO Term
mitomycin,Current,N/A,Decline,MOO Term
morphine sulfate,Current,N/A,Decline,MOO Term
mycophenolate mofetil,Current,N/A,Decline,MOO Term
myfortic,Current,N/A,Decline,MOO Term
nabi-hb,Current,N/A,Decline,MOO Term
naloxone hcl,Current,N/A,Decline,MOO Term
naltrexone hcl,Current,N/A,Decline,MOO Term
namenda,Current,N/A,Decline,MOO Term
neupogen,Current,N/A,Decline,MOO Term
panretin,Current,N/A,Decline,MOO Term
pegasys,Current,N/A,Decline,MOO Term
peg-intron,Current,N/A,Decline,MOO Term
perphenazine,Current,N/A,Decline,MOO Term
pradaxa,Current,N/A,Decline,MOO Term
prograf,Current,N/A,Decline,MOO Term
ranexa,Current,N/A,Decline,MOO Term
razadyne,Current,N/A,Decline,MOO Term
rebif,Current,N/A,Decline,MOO Term
retrovir,Current,N/A,Decline,MOO Term
revia,Current,N/A,Decline,MOO Term
revlimid,Current,N/A,Decline,MOO Term
ribavirin,Current,N/A,Decline,MOO Term
risperdal,Current,N/A,Decline,MOO Term
rituxan,Current,N/A,Decline,MOO Term
sandimmune,Current,N/A,Decline,MOO Term
saphris,Current,N/A,Decline,MOO Term
seroquel,Current,N/A,Decline,MOO Term
serzone,Current,N/A,Decline,MOO Term
sinemet,Current,N/A,Decline,MOO Term
spiriva,Current,N/A,Decline,MOO Term
stalevo,Current,N/A,Decline,MOO Term
stribild,Current,N/A,Decline,MOO Term
suboxone,Current,N/A,Decline,MOO Term
sustiva,Current,N/A,Decline,MOO Term
symbyax,Current,N/A,Decline,MOO Term
tamoxifen,Current,N/A,Decline,MOO Term
targretin,Current,N/A,Decline,MOO Term
teslac,Current,N/A,Decline,MOO Term
truvada,Current,N/A,Decline,MOO Term
tysabri,Current,N/A,Decline,MOO Term
viracept,Current,N/A,Decline,MOO Term
viramune,Current,N/A,Decline,MOO Term
viread,Current,N/A,Decline,MOO Term
xarelto,Current,N/A,Decline,MOO Term
xeljanz,Current,N/A,Decline,MOO Term
zenapax,Current,N/A,Decline,MOO Term
zerit,Current,N/A,Decline,MOO Term
ziagen,Current,N/A,Decline,MOO Term
zidovudine,Current,N/A,Decline,MOO Term
zoladex,Current,N/A,Decline,MOO Term
zyprexa,Current,N/A,Decline,MOO Term
abacavir,Current,N/A,Decline,MOO Term
abilify,Current,N/A,Decline,MOO Term
adcirca,Current,N/A,Decline,MOO Term
aggrenox,Current,N/A,Decline,MOO Term
alkeran,Current,N/A,Decline,MOO Term
amiodarone,Current,N/A,Decline,MOO Term
ampyra,Current,N/A,Decline,MOO Term
antabuse,Current,N/A,Decline,MOO Term
aricept,Current,N/A,Decline,MOO Term
arimidex,Current,N/A,Decline,MOO Term
atripla,Current,N/A,Decline,MOO Term
avonex,Current,N/A,Decline,MOO Term
azilect,Current,N/A,Decline,MOO Term
baraclude,Current,N/A,Decline,MOO Term
betaseron,Current,N/A,Decline,MOO Term
calcium acetate,Current,N/A,Decline,MOO Term
campath,Current,N/A,Decline,MOO Term
campral,Current,N/A,Decline,MOO Term
caprelsa,Current,N/A,Decline,MOO Term
levodopa,Current,N/A,Decline,MOO Term
carbidopa,Current,N/A,Decline,MOO Term
casodex,Current,N/A,Decline,MOO Term
cellcept,Current,N/A,Decline,MOO Term
chlorpromazine hcl,Current,N/A,Decline,MOO Term
